predict,target,bias
1.8816494,1.8720930232558146,9.938382031405244
1.8647523,1.9221824686940965,9.938382031404968
1.9026201,1.8821307891075334,9.938382031405313
1.8962886,1.8996223414828064,9.938382031405341
1.8746396,1.8617571059431537,9.938382031405322
1.8799176,1.8708010335917322,9.938382031405302
1.8695228,1.8405883522162585,9.93838203140529
1.8692635,1.8954482210296177,9.938382031405315
1.8831416,1.8893858079904604,9.938382031405252
1.8851317,1.865235539654144,9.938382031405261
1.8988124,1.8709004174120447,9.938382031405316
1.8756177,1.8773603657324585,9.938382031405352
1.8552661,1.8623534088650375,9.938382031405364
1.8830531,1.8699065792089042,9.938382031405348
1.861839,1.916418207115881,9.938382031405277
1.8923525,1.8436692506459944,9.938382031405311
1.8665516,1.851023653349234,9.938382031405233
1.8558613,1.902305704631286,9.938382031405295
1.8661976,1.9104551778970387,9.938382031405215
1.8688064,1.8586762075134176,9.938382031405167
1.8828688,1.880043728880938,9.938382031405288
1.8737862,1.8629497117869214,9.938382031405302
1.9135355,1.9227787716159803,9.938382031405302
1.9085402,1.8795468097793688,9.938382031405283
1.8927524,1.8637447823494346,9.938382031405327
1.926756,1.8935599284436493,9.938382031405222
1.8813208,1.887795666865434,9.938382031405085
1.8930665,1.8925660902405088,9.938382031405197
1.8646393,1.878354203935599,9.938382031405261
1.8950509,1.884416616974756,9.938382031405164
1.8768346,1.8903796461936009,9.938382031405279
1.8689045,1.8712979526933013,9.938382031405512
1.8855228,1.8820314052872187,9.938382031405459
1.8737334,1.87418008348241,9.938382031405354
1.8942682,1.9018087855297168,9.938382031405325
1.8859677,1.8790498906777975,9.938382031405354
1.8862686,1.8693102762870204,9.938382031405325
1.9023985,1.9099582587954695,9.938382031405329
1.8986688,1.8927648578811382,9.938382031405304
1.9000777,1.897833432717155,9.938382031405292
1.8711345,1.8548996223414833,9.938382031405245
1.8660122,1.8650367720135168,9.93838203140533
1.865386,1.8576823693102773,9.938382031405432
1.8820472,1.8845160007950708,9.938382031405244
1.8714086,1.8682170542635652,9.938382031405382
1.8758991,1.8943549990061626,9.938382031405295
1.8708762,1.912939773404891,9.9383820314055
1.8806973,1.9043927648578816,9.938382031405302
1.910632,1.9236732259988083,9.938382031405219
1.8954836,1.8899210868045146,9.989012086704586
1.8988603,1.9101987813405248,9.989012086704621
1.8991344,1.9196015294827937,10.06238679814855
1.8815277,1.8663715033205879,10.062386798148548
1.8844142,1.8742201650231438,10.062386798148577
1.8779018,1.8815537888698795,10.063399416322765
1.8492535,1.844822381000302,10.06339941632289
1.8572862,1.835865955519774,10.063399416322797
1.8766803,1.8652834008097172,10.121457489878662
1.8476672,1.8575910931174087,10.121457489878397
1.8644125,1.8663967611336045,10.121457489878564
1.8354385,1.8483402700233484,10.151253679829223
1.8616916,1.863567150543093,10.15125367982942
1.8488314,1.8742259669069141,10.151253679829477
1.840344,1.8652928636686643,10.151253679829505
1.8765857,1.8928027611410019,10.15125367982947
1.8629494,1.8438719750195158,11.152001784320257
1.8566769,1.8589271774283476,11.1520017843203
1.8360487,1.8764354066985653,11.96172248803829
1.8371516,1.8306220095693786,11.96172248803826
